a = 2, b = 3, c = 5, 7797.34
a = 7, b = 2, c = 43, 7778.75
a = 7, b = 2, c = 47, 7723.47
a = 7, b = 2, c = 53, 7801.93
a = 7, b = 2, c = 59, 7724.17
a = 7, b = 2, c = 61, 7773.16
a = 7, b = 3, c = 2, 7914.21
a = 7, b = 3, c = 5, 7807.53
a = 7, b = 3, c = 11, 7576.81
a = 7, b = 3, c = 13, 7410.71
a = 7, b = 3, c = 17, 7873.39
a = 7, b = 3, c = 19, 7655.35
a = 7, b = 3, c = 23, 7816.70
a = 7, b = 3, c = 29, 7897.11
a = 7, b = 3, c = 31, 7839.80
a = 7, b = 3, c = 37, 7433.03
a = 7, b = 3, c = 41, 7666.39
a = 7, b = 3, c = 43, 7606.98
a = 7, b = 3, c = 47, 7739.72
a = 7, b = 3, c = 53, 7864.76
a = 7, b = 3, c = 59, 7776.50
a = 7, b = 3, c = 61, 7702.78
a = 7, b = 5, c = 2, 7681.01
a = 7, b = 5, c = 3, 7748.50
a = 7, b = 5, c = 11, 7597.34
a = 7, b = 5, c = 13, 7512.58
a = 7, b = 5, c = 17, 7606.51
a = 7, b = 5, c = 19, 8020.83
a = 7, b = 5, c = 23, 7834.51
a = 7, b = 5, c = 29, 8016.94
a = 7, b = 5, c = 31, 7924.40
a = 7, b = 5, c = 37, 7783.42
a = 7, b = 5, c = 43, 7825.57
a = 7, b = 5, c = 47, 7635.36
a = 7, b = 5, c = 53, 7653.48
a = 7, b = 5, c = 59, 7931.63
a = 7, b = 5, c = 61, 7688.32
a = 7, b = 11, c = 2, 7754.26
a = 7, b = 11, c = 3, 7656.44
a = 7, b = 11, c = 5, 7710.95
a = 7, b = 11, c = 13, 7646.87
a = 7, b = 11, c = 17, 7882.18
a = 7, b = 11, c = 19, 7665.14
a = 7, b = 11, c = 23, 7860.02
a = 7, b = 11, c = 29, 7876.19
a = 7, b = 11, c = 31, 7761.96
a = 7, b = 11, c = 37, 7738.71
a = 7, b = 11, c = 41, 7758.54
a = 7, b = 11, c = 43, 7924.25
a = 7, b = 11, c = 47, 7852.86
a = 7, b = 11, c = 53, 7739.02
a = 7, b = 11, c = 59, 7610.48
a = 7, b = 11, c = 61, 7648.50
a = 7, b = 13, c = 2, 7566.70
a = 7, b = 13, c = 3, 7855.58
a = 7, b = 13, c = 5, 7830.54
a = 7, b = 13, c = 11, 7806.36
a = 7, b = 13, c = 17, 7880.70
a = 7, b = 13, c = 19, 7540.26
a = 7, b = 13, c = 23, 7885.91
a = 7, b = 13, c = 29, 7494.15
a = 7, b = 13, c = 31, 7695.16
a = 7, b = 13, c = 37, 7675.18
a = 7, b = 13, c = 41, 7594.15
a = 7, b = 13, c = 43, 7651.38
a = 7, b = 13, c = 47, 7580.38
a = 7, b = 13, c = 53, 7714.68
a = 7, b = 13, c = 59, 7760.87
a = 7, b = 13, c = 61, 8058.54
a = 7, b = 17, c = 2, 7879.22
a = 7, b = 17, c = 3, 7797.96
a = 7, b = 17, c = 5, 8068.10
a = 7, b = 17, c = 11, 7848.27
a = 7, b = 17, c = 13, 7671.75
a = 7, b = 17, c = 19, 7663.51
a = 7, b = 17, c = 23, 8007.53
a = 7, b = 17, c = 29, 7770.98
a = 7, b = 17, c = 31, 7659.16
a = 7, b = 17, c = 37, 7630.70
a = 7, b = 17, c = 41, 7615.53
a = 7, b = 17, c = 43, 7718.18
a = 7, b = 17, c = 47, 7796.64
a = 7, b = 17, c = 53, 7758.15
a = 7, b = 17, c = 59, 7908.85
a = 7, b = 17, c = 61, 7796.10
a = 7, b = 19, c = 2, 7792.83
a = 7, b = 19, c = 3, 7599.36
a = 7, b = 19, c = 5, 7671.52
a = 7, b = 19, c = 11, 7684.04
a = 7, b = 19, c = 13, 7652.70
a = 7, b = 19, c = 17, 7735.83
a = 7, b = 19, c = 23, 7746.48
a = 7, b = 19, c = 29, 7847.26
a = 7, b = 19, c = 31, 7797.57
a = 7, b = 19, c = 37, 7827.20
a = 7, b = 19, c = 41, 7825.41
a = 7, b = 19, c = 43, 7813.75
a = 7, b = 19, c = 47, 7940.34
a = 7, b = 19, c = 53, 7664.60
a = 7, b = 19, c = 59, 7647.26
a = 7, b = 19, c = 61, 7649.67
a = 7, b = 23, c = 2, 7667.63
a = 7, b = 23, c = 3, 8026.35
a = 7, b = 23, c = 5, 7660.71
a = 7, b = 23, c = 11, 7576.19
a = 7, b = 23, c = 13, 7593.22
a = 7, b = 23, c = 17, 7703.25
a = 7, b = 23, c = 19, 7977.59
a = 7, b = 23, c = 29, 7771.52
a = 7, b = 23, c = 31, 7523.93
a = 7, b = 23, c = 37, 7945.94
a = 7, b = 23, c = 41, 7989.33
a = 7, b = 23, c = 43, 7540.49
a = 7, b = 23, c = 47, 7805.35
a = 7, b = 23, c = 59, 7852.24
a = 7, b = 23, c = 61, 7824.01
a = 7, b = 29, c = 2, 7865.23
a = 7, b = 29, c = 3, 8016.39
a = 7, b = 29, c = 5, 7852.86
a = 7, b = 29, c = 11, 7841.90
a = 7, b = 29, c = 13, 7938.01
a = 7, b = 29, c = 17, 8006.28
a = 7, b = 29, c = 19, 7822.77
a = 7, b = 29, c = 23, 7724.32
a = 7, b = 29, c = 31, 7661.65
a = 7, b = 29, c = 37, 7824.71
a = 7, b = 29, c = 41, 7825.64
a = 7, b = 29, c = 47, 8011.96
a = 7, b = 29, c = 53, 7714.52
a = 7, b = 29, c = 59, 7724.63
a = 7, b = 29, c = 61, 7775.25
a = 7, b = 31, c = 2, 7464.21
a = 7, b = 31, c = 3, 7691.12
a = 7, b = 31, c = 5, 7779.84
a = 7, b = 31, c = 11, 7740.42
a = 7, b = 31, c = 13, 7842.83
a = 7, b = 31, c = 17, 7776.81
a = 7, b = 31, c = 19, 7740.26
a = 7, b = 31, c = 23, 8057.84
a = 7, b = 31, c = 29, 7831.17
a = 7, b = 31, c = 37, 8051.70
a = 7, b = 31, c = 41, 8013.28
a = 7, b = 31, c = 47, 7687.00
a = 7, b = 37, c = 2, 7542.05
a = 7, b = 37, c = 3, 7797.26
a = 7, b = 37, c = 5, 7767.48
a = 7, b = 37, c = 11, 7920.75
a = 7, b = 37, c = 13, 7627.97
a = 7, b = 37, c = 17, 7927.36
a = 7, b = 37, c = 19, 7711.10
a = 7, b = 37, c = 23, 7946.41
a = 7, b = 37, c = 29, 7787.46
a = 7, b = 37, c = 31, 7710.25
a = 7, b = 37, c = 41, 7606.82
a = 7, b = 37, c = 43, 7666.78
a = 7, b = 37, c = 47, 7580.31
a = 7, b = 37, c = 59, 7936.53
a = 7, b = 41, c = 2, 7708.07
a = 7, b = 41, c = 3, 7904.49
a = 7, b = 41, c = 5, 7918.65
a = 7, b = 41, c = 11, 7946.87
a = 7, b = 41, c = 13, 7710.71
a = 7, b = 41, c = 17, 7586.06
a = 7, b = 41, c = 19, 7607.68
a = 7, b = 41, c = 23, 8046.72
a = 7, b = 41, c = 31, 7643.68
a = 7, b = 41, c = 37, 7787.77
a = 7, b = 41, c = 43, 7881.09
a = 7, b = 41, c = 47, 7974.09
a = 7, b = 43, c = 2, 7591.89
a = 7, b = 43, c = 3, 7895.09
a = 7, b = 43, c = 5, 7677.04
a = 7, b = 43, c = 11, 7677.66
a = 7, b = 43, c = 13, 7912.82
a = 7, b = 43, c = 17, 7869.58
a = 7, b = 43, c = 19, 7872.38
a = 7, b = 43, c = 23, 7739.72
a = 7, b = 43, c = 29, 7782.88
a = 7, b = 43, c = 31, 7756.20
a = 7, b = 43, c = 37, 7548.35
a = 7, b = 43, c = 41, 7837.31
a = 7, b = 43, c = 47, 7489.64
a = 7, b = 43, c = 53, 7774.48
a = 7, b = 43, c = 59, 7707.29
a = 7, b = 43, c = 61, 7555.03
a = 7, b = 47, c = 2, 7927.43
a = 7, b = 47, c = 3, 7479.45
a = 7, b = 47, c = 5, 7902.63
a = 7, b = 47, c = 13, 8024.01
a = 7, b = 47, c = 17, 7489.33
a = 7, b = 47, c = 19, 7876.73
a = 7, b = 47, c = 23, 7813.82
a = 7, b = 47, c = 29, 7656.98
a = 7, b = 47, c = 31, 7952.86
a = 7, b = 47, c = 37, 7398.11
a = 7, b = 47, c = 41, 7790.65
a = 7, b = 47, c = 43, 7622.69
a = 7, b = 47, c = 53, 7715.30
a = 7, b = 53, c = 2, 7761.49
a = 7, b = 53, c = 3, 7722.84
a = 7, b = 53, c = 5, 7667.71
a = 7, b = 53, c = 11, 7592.28
a = 7, b = 53, c = 13, 7897.73
a = 7, b = 53, c = 17, 7772.46
a = 7, b = 53, c = 19, 7789.95
a = 7, b = 53, c = 23, 7973.62
a = 7, b = 53, c = 29, 7677.43
a = 7, b = 53, c = 31, 7944.46
a = 7, b = 53, c = 37, 7675.33
a = 7, b = 53, c = 41, 7536.45
a = 7, b = 53, c = 47, 7593.60
a = 7, b = 59, c = 2, 7584.27
a = 7, b = 59, c = 3, 7783.96
a = 7, b = 59, c = 5, 7908.07
a = 7, b = 59, c = 11, 7801.93
a = 7, b = 59, c = 13, 7784.98
a = 7, b = 59, c = 17, 7969.35
a = 7, b = 59, c = 19, 7572.84
a = 7, b = 59, c = 47, 7777.59
a = 7, b = 61, c = 2, 7869.27
a = 7, b = 61, c = 3, 7721.13
a = 7, b = 61, c = 5, 7828.13
a = 7, b = 61, c = 11, 7657.68
a = 7, b = 61, c = 13, 7356.43
a = 7, b = 61, c = 17, 7463.20
a = 11, b = 2, c = 3, 7587.85
a = 11, b = 2, c = 5, 7614.52
a = 11, b = 2, c = 7, 7735.21
a = 11, b = 2, c = 13, 7675.88
a = 11, b = 2, c = 17, 7599.05
a = 11, b = 2, c = 19, 7970.36
a = 11, b = 2, c = 23, 7798.43
a = 11, b = 2, c = 29, 7947.26
a = 11, b = 2, c = 31, 7855.66
a = 11, b = 2, c = 37, 7729.76
a = 11, b = 2, c = 41, 7827.36
a = 11, b = 2, c = 43, 7578.60
a = 11, b = 2, c = 47, 7743.68
a = 11, b = 2, c = 53, 7777.04
a = 11, b = 2, c = 59, 7723.23
a = 11, b = 2, c = 61, 7630.07
a = 11, b = 3, c = 2, 7307.05
a = 11, b = 3, c = 5, 7873.86
a = 11, b = 3, c = 7, 7714.76
a = 11, b = 3, c = 13, 7653.64
a = 11, b = 3, c = 17, 7544.07
a = 11, b = 3, c = 19, 7893.22
a = 11, b = 3, c = 23, 7636.37
a = 11, b = 3, c = 29, 7633.96
a = 11, b = 3, c = 31, 7505.66
a = 11, b = 3, c = 37, 7687.54
a = 11, b = 3, c = 41, 7761.57
a = 11, b = 3, c = 43, 7747.73
a = 11, b = 3, c = 47, 7589.33
a = 11, b = 3, c = 53, 7474.94
a = 11, b = 3, c = 59, 7662.03
a = 11, b = 3, c = 61, 7993.76
a = 11, b = 5, c = 2, 7761.88
a = 11, b = 5, c = 3, 7723.00
a = 11, b = 5, c = 7, 7471.21
a = 11, b = 5, c = 13, 7637.54
a = 11, b = 5, c = 17, 7733.73
a = 11, b = 5, c = 19, 7986.77
a = 11, b = 5, c = 23, 7863.51
a = 11, b = 5, c = 29, 7876.19
a = 11, b = 5, c = 31, 7674.01
a = 11, b = 5, c = 37, 7788.40
a = 11, b = 5, c = 41, 7789.95
a = 11, b = 5, c = 43, 7665.14
a = 11, b = 5, c = 47, 7840.50
a = 11, b = 5, c = 53, 7902.71
a = 11, b = 5, c = 59, 7968.73
a = 11, b = 5, c = 61, 7718.26
a = 11, b = 7, c = 2, 7829.92
a = 11, b = 7, c = 3, 7802.78
a = 11, b = 7, c = 5, 7959.63
a = 11, b = 7, c = 13, 7766.39
a = 11, b = 7, c = 17, 7683.73
a = 11, b = 7, c = 19, 7729.53
a = 11, b = 7, c = 23, 7848.20
a = 11, b = 7, c = 29, 7609.00
a = 11, b = 7, c = 37, 7906.59
a = 11, b = 7, c = 41, 7655.04
a = 11, b = 7, c = 43, 7749.90
a = 11, b = 7, c = 47, 7790.11
a = 11, b = 7, c = 53, 7648.43
a = 11, b = 7, c = 59, 7985.76
a = 11, b = 7, c = 61, 7978.45
a = 11, b = 13, c = 2, 7712.97
a = 11, b = 13, c = 3, 7887.15
a = 11, b = 13, c = 5, 7864.29
a = 11, b = 13, c = 7, 7857.60
a = 11, b = 13, c = 17, 7774.09
a = 11, b = 13, c = 19, 7773.47
a = 11, b = 13, c = 23, 7809.86
a = 11, b = 13, c = 29, 7646.02
a = 11, b = 13, c = 31, 7757.84
a = 11, b = 13, c = 37, 7755.27
a = 11, b = 13, c = 41, 7690.49
a = 11, b = 13, c = 43, 7577.74
a = 11, b = 13, c = 47, 7864.76
a = 11, b = 13, c = 53, 7723.93
a = 11, b = 13, c = 59, 7612.42
a = 11, b = 13, c = 61, 7612.03
a = 11, b = 17, c = 2, 7833.50
a = 11, b = 17, c = 3, 7678.75
a = 11, b = 17, c = 5, 7809.78
a = 11, b = 17, c = 13, 7691.89
a = 11, b = 17, c = 19, 7510.63
a = 11, b = 17, c = 23, 7716.86
a = 11, b = 17, c = 29, 7965.15
a = 11, b = 17, c = 31, 7867.01
a = 11, b = 17, c = 37, 7781.94
a = 11, b = 17, c = 41, 7724.55
a = 11, b = 17, c = 43, 7994.54
a = 11, b = 17, c = 53, 7957.99
a = 11, b = 17, c = 59, 7535.21
a = 11, b = 17, c = 61, 7694.85
a = 11, b = 19, c = 2, 8044.39
a = 11, b = 19, c = 3, 7891.43
a = 11, b = 19, c = 5, 7792.98
a = 11, b = 19, c = 7, 7796.72
a = 11, b = 19, c = 17, 7993.45
a = 11, b = 19, c = 23, 7672.30
a = 11, b = 19, c = 31, 7767.79
a = 11, b = 19, c = 37, 7676.73
a = 11, b = 19, c = 41, 8019.19
a = 11, b = 19, c = 43, 7858.54
a = 11, b = 19, c = 47, 7816.08
a = 11, b = 19, c = 53, 7863.59
a = 11, b = 19, c = 59, 7695.08
a = 11, b = 19, c = 61, 7629.22
a = 11, b = 23, c = 2, 7603.25
a = 11, b = 23, c = 3, 7701.93
a = 11, b = 23, c = 5, 7775.10
a = 11, b = 23, c = 7, 7837.70
a = 11, b = 23, c = 13, 7837.00
a = 11, b = 23, c = 17, 7502.62
a = 11, b = 23, c = 19, 7852.94
a = 11, b = 23, c = 29, 7729.53
a = 11, b = 23, c = 31, 7668.10
a = 11, b = 23, c = 37, 7856.59
a = 11, b = 23, c = 41, 7788.09
a = 11, b = 23, c = 47, 7833.50
a = 11, b = 23, c = 53, 7924.95
a = 11, b = 23, c = 59, 7700.53
a = 11, b = 23, c = 61, 7906.75
a = 11, b = 29, c = 2, 7773.47
a = 11, b = 29, c = 3, 7844.07
a = 11, b = 29, c = 5, 7757.53
a = 11, b = 29, c = 7, 7922.54
a = 11, b = 29, c = 13, 7974.17
a = 11, b = 29, c = 17, 7891.20
a = 11, b = 29, c = 19, 7955.27
a = 11, b = 29, c = 23, 7462.96
a = 11, b = 29, c = 31, 7979.92
a = 11, b = 29, c = 37, 7917.64
a = 11, b = 29, c = 41, 7808.85
a = 11, b = 29, c = 43, 7797.34
a = 11, b = 29, c = 53, 7626.34
a = 11, b = 31, c = 2, 7749.59
a = 11, b = 31, c = 3, 7535.28
a = 11, b = 31, c = 5, 8015.30
a = 11, b = 31, c = 7, 7496.95
a = 11, b = 31, c = 13, 7962.58
a = 11, b = 31, c = 17, 7816.00
a = 11, b = 31, c = 19, 7626.42
a = 11, b = 31, c = 23, 7592.83
a = 11, b = 31, c = 29, 7752.70
a = 11, b = 31, c = 37, 7647.88
a = 11, b = 31, c = 41, 8010.41
a = 11, b = 31, c = 43, 7771.68
a = 11, b = 31, c = 47, 7990.27
a = 11, b = 31, c = 61, 7765.85
a = 11, b = 37, c = 2, 7688.01
a = 11, b = 37, c = 3, 7684.51
a = 11, b = 37, c = 5, 7906.05
a = 11, b = 37, c = 7, 7727.74
a = 11, b = 37, c = 13, 7852.55
a = 11, b = 37, c = 17, 7539.25
a = 11, b = 37, c = 19, 7802.70
a = 11, b = 37, c = 23, 7702.47
a = 11, b = 37, c = 29, 7518.49
a = 11, b = 37, c = 31, 7846.87
a = 11, b = 37, c = 41, 7731.09
a = 11, b = 37, c = 43, 8043.38
a = 11, b = 37, c = 47, 7812.74
a = 11, b = 41, c = 2, 7987.31
a = 11, b = 41, c = 3, 7701.69
a = 11, b = 41, c = 5, 7985.83
a = 11, b = 41, c = 7, 7916.47
a = 11, b = 41, c = 13, 7800.61
a = 11, b = 41, c = 17, 7773.54
a = 11, b = 41, c = 19, 7681.86
a = 11, b = 41, c = 23, 7767.32
a = 11, b = 41, c = 29, 7791.74
a = 11, b = 41, c = 31, 7694.23
a = 11, b = 41, c = 37, 7759.47
a = 11, b = 41, c = 43, 7489.56
a = 11, b = 41, c = 47, 7932.72
a = 11, b = 41, c = 53, 7646.48
a = 11, b = 43, c = 2, 7882.64
a = 11, b = 43, c = 3, 7891.59
a = 11, b = 43, c = 5, 8012.82
a = 11, b = 43, c = 7, 7819.11
a = 11, b = 43, c = 13, 7823.08
a = 11, b = 43, c = 17, 7589.17
a = 11, b = 43, c = 19, 7894.62
a = 11, b = 43, c = 23, 7600.06
a = 11, b = 43, c = 29, 7671.91
a = 11, b = 43, c = 31, 7611.80
a = 11, b = 43, c = 41, 7851.38
a = 11, b = 43, c = 47, 7644.69
a = 11, b = 47, c = 2, 7809.78
a = 11, b = 47, c = 3, 7799.13
a = 11, b = 47, c = 5, 7905.43
a = 11, b = 47, c = 7, 7849.83
a = 11, b = 47, c = 13, 7669.42
a = 11, b = 47, c = 17, 7656.90
a = 11, b = 47, c = 19, 7988.09
a = 11, b = 47, c = 23, 7609.78
a = 11, b = 47, c = 29, 7630.39
a = 11, b = 47, c = 37, 7560.24
a = 11, b = 47, c = 43, 7598.19
a = 11, b = 53, c = 2, 7976.58
a = 11, b = 53, c = 3, 7577.51
a = 11, b = 53, c = 5, 7708.77
a = 11, b = 53, c = 7, 7467.63
a = 11, b = 53, c = 13, 7740.34
a = 11, b = 53, c = 17, 7725.64
a = 11, b = 53, c = 19, 7856.05
a = 11, b = 53, c = 23, 7878.76
a = 11, b = 53, c = 29, 7657.60
a = 11, b = 53, c = 31, 7903.79
a = 11, b = 53, c = 37, 7842.67
a = 11, b = 53, c = 41, 7682.10
a = 11, b = 53, c = 43, 7763.67
a = 11, b = 53, c = 47, 7705.27
a = 11, b = 53, c = 59, 7938.55
a = 11, b = 53, c = 61, 7631.78
a = 11, b = 59, c = 2, 7976.11
a = 11, b = 59, c = 3, 7849.36
a = 11, b = 59, c = 5, 7717.71
a = 11, b = 59, c = 7, 7860.48
a = 11, b = 59, c = 17, 7954.57
a = 11, b = 59, c = 19, 7556.28
a = 11, b = 61, c = 2, 7740.34
a = 11, b = 61, c = 3, 7749.83
a = 11, b = 61, c = 5, 7882.18
a = 11, b = 61, c = 7, 7657.76
a = 13, b = 2, c = 3, 7756.44
a = 13, b = 2, c = 5, 7709.78
a = 13, b = 2, c = 7, 7626.89
a = 13, b = 2, c = 11, 7780.78
a = 13, b = 2, c = 17, 7829.07
a = 13, b = 2, c = 19, 7628.05
a = 13, b = 2, c = 23, 7674.24
a = 13, b = 2, c = 29, 7748.27
a = 13, b = 2, c = 31, 7842.83
a = 13, b = 2, c = 37, 7603.87
a = 13, b = 2, c = 41, 7370.35
a = 13, b = 2, c = 47, 7580.00
a = 13, b = 2, c = 53, 7648.58
a = 13, b = 2, c = 59, 8002.55
a = 13, b = 2, c = 61, 7625.10
a = 13, b = 3, c = 2, 7887.00
a = 13, b = 3, c = 5, 7943.38
a = 13, b = 3, c = 11, 7857.37
a = 13, b = 3, c = 17, 7868.41
a = 13, b = 3, c = 19, 7825.26
a = 13, b = 3, c = 23, 7797.57
a = 13, b = 3, c = 29, 7746.09
a = 13, b = 3, c = 31, 7775.02
a = 13, b = 3, c = 37, 7775.02
a = 13, b = 3, c = 41, 7897.96
a = 13, b = 3, c = 43, 7771.91
a = 13, b = 3, c = 47, 7602.86
a = 13, b = 3, c = 53, 7806.05
a = 13, b = 3, c = 59, 7577.27
a = 13, b = 3, c = 61, 7809.70
a = 13, b = 5, c = 2, 7590.18
a = 13, b = 5, c = 3, 7810.64
a = 13, b = 5, c = 7, 7779.84
a = 13, b = 5, c = 11, 7856.13
a = 13, b = 5, c = 17, 7865.92
a = 13, b = 5, c = 19, 7606.67
a = 13, b = 5, c = 23, 7680.54
a = 13, b = 5, c = 29, 7384.81
a = 13, b = 5, c = 31, 7993.07
a = 13, b = 5, c = 37, 7523.15
a = 13, b = 5, c = 41, 7764.52
a = 13, b = 5, c = 43, 7495.86
a = 13, b = 5, c = 47, 7722.92
a = 13, b = 5, c = 53, 7725.25
a = 13, b = 5, c = 59, 7771.83
a = 13, b = 5, c = 61, 7863.75
a = 13, b = 7, c = 2, 7794.00
a = 13, b = 7, c = 3, 7948.66
a = 13, b = 7, c = 5, 7690.11
a = 13, b = 7, c = 11, 7744.15
a = 13, b = 7, c = 17, 7654.72
a = 13, b = 7, c = 19, 7609.47
a = 13, b = 7, c = 23, 8010.87
a = 13, b = 7, c = 29, 7674.55
a = 13, b = 7, c = 31, 7790.73
a = 13, b = 7, c = 37, 7964.22
a = 13, b = 7, c = 41, 7775.72
a = 13, b = 7, c = 43, 8047.34
a = 13, b = 7, c = 47, 7765.77
a = 13, b = 7, c = 53, 7734.27
a = 13, b = 7, c = 59, 7649.83
a = 13, b = 7, c = 61, 7665.38
a = 13, b = 11, c = 2, 7783.73
a = 13, b = 11, c = 3, 7717.32
a = 13, b = 11, c = 5, 7871.83
a = 13, b = 11, c = 7, 7593.37
a = 13, b = 11, c = 17, 7640.73
a = 13, b = 11, c = 19, 8019.82
a = 13, b = 11, c = 23, 7854.73
a = 13, b = 11, c = 29, 7804.18
a = 13, b = 11, c = 31, 7619.81
a = 13, b = 11, c = 37, 7760.79
a = 13, b = 11, c = 41, 7715.77
a = 13, b = 11, c = 43, 7533.81
a = 13, b = 11, c = 47, 7714.13
a = 13, b = 11, c = 53, 7919.74
a = 13, b = 11, c = 59, 7804.42
a = 13, b = 11, c = 61, 7618.10
a = 13, b = 17, c = 2, 7742.28
a = 13, b = 17, c = 3, 8029.54
a = 13, b = 17, c = 5, 7696.09
a = 13, b = 17, c = 7, 7822.46
a = 13, b = 17, c = 11, 7792.91
a = 13, b = 17, c = 19, 7601.85
a = 13, b = 17, c = 23, 7959.86
a = 13, b = 17, c = 29, 7900.06
a = 13, b = 17, c = 31, 7790.81
a = 13, b = 17, c = 37, 7800.53
a = 13, b = 17, c = 41, 7754.49
a = 13, b = 17, c = 47, 7900.22
a = 13, b = 17, c = 53, 7715.15
a = 13, b = 17, c = 59, 7890.03
a = 13, b = 17, c = 61, 7650.06
a = 13, b = 19, c = 2, 7784.04
a = 13, b = 19, c = 3, 7712.03
a = 13, b = 19, c = 5, 7953.87
a = 13, b = 19, c = 7, 7888.16
a = 13, b = 19, c = 11, 7507.99
a = 13, b = 19, c = 17, 7985.60
a = 13, b = 19, c = 29, 7731.16
a = 13, b = 19, c = 31, 7661.57
a = 13, b = 19, c = 37, 7771.99
a = 13, b = 19, c = 41, 7514.68
a = 13, b = 19, c = 43, 7641.82
a = 13, b = 19, c = 47, 7874.63
a = 13, b = 19, c = 53, 7664.83
a = 13, b = 19, c = 59, 7670.74
a = 13, b = 19, c = 61, 7939.72
a = 13, b = 23, c = 2, 7770.20
a = 13, b = 23, c = 3, 7654.72
a = 13, b = 23, c = 5, 7577.59
a = 13, b = 23, c = 7, 7949.44
a = 13, b = 23, c = 11, 7610.40
a = 13, b = 23, c = 17, 7802.70
a = 13, b = 23, c = 19, 7803.17
a = 13, b = 23, c = 29, 7488.63
a = 13, b = 23, c = 31, 7725.57
a = 13, b = 23, c = 37, 7844.00
a = 13, b = 23, c = 41, 7706.75
a = 13, b = 23, c = 43, 7842.75
a = 13, b = 23, c = 47, 7694.15
a = 13, b = 23, c = 53, 7734.90
a = 13, b = 23, c = 61, 7952.01
a = 13, b = 29, c = 2, 7915.46
a = 13, b = 29, c = 3, 7529.30
a = 13, b = 29, c = 5, 7864.37
a = 13, b = 29, c = 7, 7628.91
a = 13, b = 29, c = 11, 7849.75
a = 13, b = 29, c = 17, 7697.34
a = 13, b = 29, c = 19, 7651.61
a = 13, b = 29, c = 23, 7487.46
a = 13, b = 29, c = 31, 7691.66
a = 13, b = 29, c = 37, 7541.27
a = 13, b = 29, c = 41, 7872.69
a = 13, b = 29, c = 43, 7689.17
a = 13, b = 29, c = 47, 7648.27
a = 13, b = 31, c = 2, 7690.26
a = 13, b = 31, c = 3, 7859.24
a = 13, b = 31, c = 5, 7899.91
a = 13, b = 31, c = 7, 7570.04
a = 13, b = 31, c = 11, 7774.94
a = 13, b = 31, c = 17, 7726.73
a = 13, b = 31, c = 19, 7923.39
a = 13, b = 31, c = 23, 8001.93
a = 13, b = 31, c = 29, 7591.66
a = 13, b = 31, c = 37, 8028.29
a = 13, b = 31, c = 41, 7588.63
a = 13, b = 31, c = 43, 7681.79
a = 13, b = 31, c = 47, 7827.12
a = 13, b = 37, c = 2, 8046.64
a = 13, b = 37, c = 3, 7671.21
a = 13, b = 37, c = 5, 7775.25
a = 13, b = 37, c = 7, 7706.59
a = 13, b = 37, c = 11, 7623.31
a = 13, b = 37, c = 17, 7728.91
a = 13, b = 37, c = 19, 7838.55
a = 13, b = 37, c = 23, 7886.53
a = 13, b = 37, c = 29, 7689.56
a = 13, b = 37, c = 31, 7673.15
a = 13, b = 37, c = 43, 8015.77
a = 13, b = 37, c = 47, 7762.11
a = 13, b = 41, c = 2, 7860.79
a = 13, b = 41, c = 3, 7995.63
a = 13, b = 41, c = 5, 7928.91
a = 13, b = 41, c = 7, 7922.15
a = 13, b = 41, c = 11, 7981.56
a = 13, b = 41, c = 17, 7854.65
a = 13, b = 41, c = 19, 7674.71
a = 13, b = 41, c = 23, 7750.92
a = 13, b = 41, c = 29, 7699.28
a = 13, b = 41, c = 31, 7798.51
a = 13, b = 41, c = 37, 7759.16
a = 13, b = 41, c = 47, 7528.13
a = 13, b = 41, c = 53, 7825.10
a = 13, b = 43, c = 2, 7612.66
a = 13, b = 43, c = 3, 7686.76
a = 13, b = 43, c = 5, 7554.72
a = 13, b = 43, c = 7, 7989.02
a = 13, b = 43, c = 11, 7655.66
a = 13, b = 43, c = 17, 7669.27
a = 13, b = 43, c = 19, 7819.50
a = 13, b = 43, c = 23, 7475.64
a = 13, b = 43, c = 29, 7616.31
a = 13, b = 43, c = 31, 7953.72
a = 13, b = 43, c = 41, 7511.18
a = 13, b = 43, c = 47, 7550.60
a = 13, b = 43, c = 53, 7911.03
a = 13, b = 43, c = 59, 7114.90
a = 13, b = 47, c = 3, 7565.61
a = 13, b = 47, c = 5, 7657.21
a = 13, b = 47, c = 7, 7601.46
a = 13, b = 47, c = 11, 7863.20
a = 13, b = 47, c = 17, 7583.34
a = 13, b = 47, c = 19, 7715.53
a = 13, b = 47, c = 29, 7959.01
a = 13, b = 47, c = 31, 7652.00
a = 13, b = 47, c = 37, 8010.09
a = 13, b = 47, c = 43, 7861.65
a = 13, b = 47, c = 59, 7579.84
a = 13, b = 53, c = 2, 7612.19
a = 13, b = 53, c = 3, 7794.00
a = 13, b = 53, c = 5, 7510.55
a = 13, b = 53, c = 7, 7849.83
a = 13, b = 53, c = 11, 7768.49
a = 13, b = 53, c = 17, 7739.33
a = 13, b = 53, c = 19, 7659.47
a = 13, b = 53, c = 23, 7776.65
a = 13, b = 53, c = 29, 7755.66
a = 13, b = 53, c = 31, 7712.35
a = 13, b = 53, c = 37, 7796.95
a = 13, b = 53, c = 59, 8054.34
a = 13, b = 53, c = 61, 7588.08
a = 13, b = 59, c = 2, 7787.54
a = 13, b = 59, c = 3, 7596.25
a = 13, b = 59, c = 5, 7676.19
a = 13, b = 59, c = 7, 7759.47
